,Accession,Host,Isolation Host,staining
7161,MZ568829,Shewanella,Shewanella sp.,negative
7162,MZ568828,Shewanella,Shewanella sp.,negative
7163,MZ568827,Shewanella,Shewanella sp.,negative
7164,MZ592922,Vibrio,Vibrio parahaemolyticus,negative
7165,MZ592921,Vibrio,Vibrio parahaemolyticus,negative
7166,MZ475898,Erwinia,Erwinia amylovora,negative
7167,MZ475897,Erwinia,Erwinia amylovora,negative
7168,MZ475896,Erwinia,Erwinia amylovora,negative
7169,MZ475895,Erwinia,Erwinia amylovora,negative
7170,MZ475894,Erwinia,Erwinia amylovora,negative
7171,MZ475893,Erwinia,Erwinia amylovora,negative
7172,MZ475892,Erwinia,Erwinia amylovora,negative
7173,MZ475891,Erwinia,Erwinia amylovora,negative
7174,MZ440881,Klebsiella,Klebsiella sp.,negative
7175,MZ369152,Vibrio,Vibrio alginolyticus,negative
7176,MZ326868,Stenotrophomonas,Stenotrophomonas maltophilia,negative
7177,MZ326864,Alcaligenes,Alcaligenes faecalis,negative
7178,MZ326863,Burkholderia,Burkholderia cenocepacia,negative
7179,MZ326857,Stenotrophomonas,Stenotrophomonas maltophilia,negative
7180,MZ170041,Escherichia,Escherichia coli,negative
7181,MZ170040,Escherichia,Escherichia coli,negative
7182,MT732469,Polaribacter,Polaribacter sp.,negative
7183,MT732468,Polaribacter,Polaribacter sp.,negative
7184,MT732467,Polaribacter,Polaribacter sp.,negative
7186,MZ576218,Escherichia,Escherichia coli,negative
7187,MZ669808,Enterobacter,Enterobacter hormaechei,negative
7188,MZ424863,Proteus,Proteus mirabilis,negative
7189,MZ292654,Vibrio,Vibrio cholerae,negative
7190,MZ147816,Enterococcus,Enterococcus faecium,positive
7191,MW722082,Klebsiella,Klebsiella pneumoniae,negative
7192,MZ231001,Vibrio,Vibrio anguillarum,negative
7193,MZ231000,Vibrio,Vibrio anguillarum,negative
7194,MZ230999,Vibrio,Vibrio anguillarum,negative
7195,MZ230998,Vibrio,Vibrio anguillarum,negative
7196,MZ230997,Vibrio,Vibrio anguillarum,negative
7197,MZ230996,Vibrio,Vibrio anguillarum,negative
7198,MZ230995,Vibrio,Vibrio anguillarum,negative
7199,MZ230994,Vibrio,Vibrio anguillarum,negative
7200,MZ230993,Vibrio,Vibrio anguillarum,negative
7201,MZ230992,Vibrio,Vibrio anguillarum,negative
7202,MT188666,Vibrio,Vibrio parahaemolyticus,negative
7203,MT188665,Vibrio,Vibrio parahaemolyticus,negative
7204,MT188664,Vibrio,Vibrio parahaemolyticus,negative
7205,MT188663,Vibrio,Vibrio parahaemolyticus,negative
7206,MT188662,Vibrio,Vibrio parahaemolyticus,negative
7208,KY653117,Staphylococcus,Staphylococcus caprae,positive
7209,MZ333458,Enterococcus,Enterococcus sp.,positive
7210,CP060690,Liberibacter,Candidatus Liberibacter,negative
7211,MK203850,Alteromonas,Alteromonas macleodii,negative
7212,MZ398248,Stenotrophomonas,Stenotrophomonas maltophilia,negative
7213,MZ398247,Escherichia,Escherichia coli,negative
7214,MZ398246,Escherichia,Escherichia coli,negative
7215,MZ398244,Klebsiella,Klebsiella pneumoniae,negative
7216,MZ398242,Klebsiella,Klebsiella pneumoniae,negative
7217,MZ398241,Stenotrophomonas,Stenotrophomonas maltophilia,negative
7218,MZ398240,Stenotrophomonas,Stenotrophomonas maltophilia,negative
7219,MZ560703,Salmonella,Salmonella sp.,positive
7220,MZ560701,Escherichia,Escherichia coli,negative
7221,MZ503613,Solobacterium,Solobacterium moorei,positive
7222,MZ503612,Fusobacterium,Fusobacterium nucleatum,negative
7225,MZ643272,Staphylococcus,Staphylococcus aureus,positive
7226,MZ618622,Acinetobacter,Acinetobacter baumannii,negative
7227,MZ598515,Klebsiella,Klebsiella pneumoniae,negative
7228,MZ593728,Acinetobacter,Acinetobacter sp.,negative
7229,MZ593174,Acinetobacter,Acinetobacter pittii,negative
7230,MZ570151,Salmonella,Salmonella sp.,positive
7231,MZ614453,Salmonella,Salmonella sp.,positive
7232,GU595417,Salmonella,Salmonella enterica,positive
7233,MZ489634,Salmonella,Salmonella enterica,positive
7234,MT783706,Acinetobacter,Acinetobacter baumannii,negative
7235,MZ502380,Escherichia,Escherichia coli,negative
7236,MZ502379,Escherichia,Escherichia coli,negative
7237,MZ220766,Edwardsiella,Edwardsiella ictaluri,negative
7238,MZ220765,Edwardsiella,Edwardsiella ictaluri,negative
7239,MZ561532,Shigella,Shigella dysenteriae,negative
7240,MZ516827,Vibrio,Vibrio parahaemolyticus,negative
7241,MZ394712,Escherichia,Colistin resistant,negative
7242,MW258709,Kosakonia,Kosakonia cowanii,negative
7243,MW258711,Kosakonia,Kosakonia cowanii,negative
7244,MW258710,Kosakonia,Kosakonia cowanii,negative
7245,MW250276,Kosakonia,Kosakonia cowanii,negative
7246,MW250275,Kosakonia,Kosakonia cowanii,negative
7247,MW845760,Erwinia,Erwinia amylovora,negative
7248,MW845759,Erwinia,Erwinia amylovora,negative
7249,MW845758,Erwinia,Erwinia amylovora,negative
7250,MZ462995,Stappia,Stappia indica,negative
7251,MZ326168,Salmonella,Salmonella enterica,positive
7252,MW879344,Erwinia,Erwinia amylovora,negative
7253,MW879343,Erwinia,Erwinia amylovora,negative
7254,MW879342,Erwinia,Erwinia amylovora,negative
7255,MW879341,Erwinia,Erwinia amylovora,negative
7256,MW879340,Erwinia,Erwinia amylovora,negative
7257,MW911615,Vibrio,Vibrio cholerae,negative
7258,MW911613,Vibrio,Vibrio cholerae,negative
7259,MW911614,Vibrio,Vibrio cholerae,negative
7260,MW911612,Vibrio,Vibrio cholerae,negative
7261,MZ424864,Escherichia,Escherichia coli,negative
7262,MZ152915,Staphylococcus,Staphylococcus epidermidis,positive
7263,MZ152914,Mycobacterium,Mycobacteroides abscessus,positive
7264,MW822008,Escherichia,Escherichia coli,negative
7265,MW822007,Escherichia,Escherichia coli,negative
7266,MZ042490,Stenotrophomonas,Stenotrophomonas maltophilia,negative
7267,MW362867,Salmonella,Salmonella enterica,positive
7268,MW311372,Salmonella,Salmonella enterica,positive
7269,MW321605,Salmonella,Salmonella enterica,positive
7270,MW965453,Ralstonia,Ralstonia solanacearum,negative
7271,MW366783,Acinetobacter,Acinetobacter baumannii,negative
7272,MW366784,Acinetobacter,Acinetobacter baumannii,negative
7273,MZ171369,Methanoculleus,Methanoculleus bourgensis,negative
7274,MW822006,Escherichia,Escherichia coli,negative
7275,MZ079855,Klebsiella,MDR-Klebsiella pneumoniae,negative
7276,MN136198,Escherichia,Escherichia coli,negative
7277,MZ308445,Lactococcus,Lactococcus lactis,positive
7278,MH588547,Caulobacter,Caulobacter vibrioides,negative
7279,MZ402608,Rhodococcus,Rhodococcus erythropolis,positive
7280,MW790496,Salmonella,Salmonella enterica,positive
7281,MW790495,Salmonella,Salmonella enterica,positive
7282,MN935203,Proteus,Proteus mirabilis,negative
7284,MZ343158,Mycobacterium,Mycolicibacterium smegmatis,positive
7285,MW788656,Wolbachia,Allonemobius socius,negative
7286,MW788655,Wolbachia,Allonemobius socius,negative
7287,MT596500,Staphylococcus,Staphylococcus epidermidis,positive
7288,KY290975,Escherichia,Escherichia coli,negative
7289,MZ417521,Escherichia,Escherichia coli,negative
7290,MZ375754,Burkholderia,Burkholderia pseudomallei,negative
7291,MN091625,Staphylococcus,Staphylococcus aureus,positive
7292,MZ182247,Vibrio,Vibrio parahaemolyticus,negative
7293,MT596506,Staphylococcus,Staphylococcus epidermidis,positive
7294,MT596505,Staphylococcus,Staphylococcus epidermidis,positive
7295,MT596504,Staphylococcus,Staphylococcus epidermidis,positive
7296,MT596503,Staphylococcus,Staphylococcus epidermidis,positive
7297,MT596502,Staphylococcus,Staphylococcus epidermidis,positive
7298,MT596501,Staphylococcus,Staphylococcus epidermidis,positive
7299,MT596499,Staphylococcus,Staphylococcus epidermidis,positive
7300,MT596498,Staphylococcus,Staphylococcus epidermidis,positive
7301,MT596497,Staphylococcus,Staphylococcus epidermidis,positive
7302,MZ420150,Enterococcus,Enterococcus faecalis,positive
7303,MZ359091,Staphylococcus,Staphylococcus aureus,positive
7304,MZ359670,Klebsiella,Klebsiella pneumoniae,negative
7305,MZ342906,Escherichia,Enterotoxigenic Escherichia,negative
7306,MZ208805,Klebsiella,K47 serotype,negative
7307,MW630116,Escherichia,Escherichia coli,negative
7308,MW630115,Escherichia,Escherichia coli,negative
7309,MG720309,Vibrio,Vibrio alginolyticus,negative
7310,MG720308,Vibrio,Vibrio alginolyticus,negative
7311,MZ189262,Escherichia,Escherichia coli,negative
7312,MZ189261,Escherichia,Escherichia coli,negative
7313,MZ318363,Escherichia,Escherichia coli,negative
7314,MZ318362,Escherichia,Escherichia coli,negative
7315,MZ318361,Escherichia,Escherichia coli,negative
7317,MZ274225,Salmonella,Salmonella enterica,positive
7318,MW590329,Klebsiella,Klebsiella pneumoniae,negative
7319,MW831865,Stenotrophomonas,Stenotrophomonas maltophilia,negative
7320,MZ221764,Klebsiella,Klebsiella pneumoniae,negative
7321,MW677132,Enterococcus,Enterococcus faecalis,positive
7322,MT732475,Winogradskyella,Winograskyella sp.,negative
7323,MT732474,Tenacibaculum,Tenacibaculum sp.,negative
7324,MT732473,Polaribacter,Polaribacter sp.,negative
7325,MT732472,Polaribacter,Polaribacter sp.,negative
7326,MT732471,Polaribacter,Polaribacter sp.,negative
7327,MT732470,Polaribacter,Polaribacter sp.,negative
7328,MT732466,Polaribacter,Polaribacter sp.,negative
7329,MT732465,Polaribacter,Polaribacter sp.,negative
7330,MT732464,Polaribacter,Polaribacter sp.,negative
7331,MT732463,Polaribacter,Polaribacter sp.,negative
7332,MT732462,Polaribacter,Polaribacter sp.,negative
7333,MT732461,Polaribacter,Polaribacter sp.,negative
7334,MT732460,Polaribacter,Polaribacter sp.,negative
7335,MT732459,Polaribacter,Polaribacter sp.,negative
7336,MT732458,Polaribacter,Polaribacter sp.,negative
7337,MT732457,Olleya,Olleya sp.,negative
7338,MT732449,Cellulophaga,Cellulophaga sp.,negative
7339,MT732448,Cellulophaga,Cellulophaga sp.,negative
7340,MT732447,Cellulophaga,Cellulophaga sp.,negative
7341,MT732446,Cellulophaga,Cellulophaga sp.,negative
7342,MT732445,Cellulophaga,Cellulophaga sp.,negative
7343,MT732442,Cellulophaga,Cellulophaga sp.,negative
7344,MT732441,Cellulophaga,Cellulophaga sp.,negative
7345,MT732440,Cellulophaga,Cellulophaga sp.,negative
7346,MT732439,Cellulophaga,Cellulophaga sp.,negative
7347,MT732438,Cellulophaga,Cellulophaga sp.,negative
7348,MT732437,Cellulophaga,Cellulophaga sp.,negative
7349,MT732436,Cellulophaga,Cellulophaga sp.,negative
7350,MT732435,Cellulophaga,Cellulophaga sp.,negative
7351,MT732434,Cellulophaga,Cellulophaga sp.,negative
7352,MT732433,Cellulophaga,Cellulophaga sp.,negative
7353,MT732432,Cellulophaga,Cellulophaga sp.,negative
7354,MT732455,Maribacter,Maribacter forsetii,negative
7355,MT732454,Maribacter,Maribacter forsetii,negative
7356,MT732453,Maribacter,Maribacter forsetii,negative
7357,MT732452,Maribacter,Maribacter forsetii,negative
7358,MT732451,Maribacter,Maribacter forsetii,negative
7359,MT732450,Maribacter,Maribacter forsetii,negative
7360,MT732444,Cellulophaga,Cellulophaga sp.,negative
7361,MT732443,Cellulophaga,Cellulophaga sp.,negative
7362,MW009675,Vibrio,Vibrio parahaemolyticus,negative
7364,MW073100,Microbacterium,Microbacterium sp.,positive
7365,MW192778,Staphylococcus,Staphylococcus aureus,positive
7366,MW147366,Staphylococcus,Staphylococcus aureus,positive
7368,MW269952,Escherichia,Escherichia coli,negative
7370,MW514247,Roseobacter,Rhodobacteraceae bacterium,negative
7371,MW514246,Roseobacter,Rhodobacteraceae bacterium,negative
7372,MT735630,Vibrio,Vibrio parahaemolyticus,negative
7373,MT345684,Alteromonas,Alteromonas confluentis,negative
7376,MZ020222,Vibrio,Vibrio parahaemolyticus,negative
7377,MW043865,Alteromonas,Alteromonas sp.,negative
7378,MW748992,Vibrio,Vibrio alginolyticus,negative
7379,AB609718,Enterococcus,Enterococcus faecalis,positive
7380,MW345254,Cronobacter,Cronobacter sp.,negative
7381,MT499898,Salmonella,Salmonella enterica,positive
7382,MT499897,Salmonella,Salmonella enterica,positive
7383,MT499896,Salmonella,Salmonella enterica,positive
7384,MT193890,Vibrio,Vibrio parahaemolyticus,negative
7385,MN737551,Salmonella,Salmonella enterica,positive
7386,MW812343,Erwinia,Erwinia amylovora,negative
7387,MW812342,Erwinia,Erwinia amylovora,negative
7388,MW812341,Erwinia,Erwinia amylovora,negative
7389,MW812340,Erwinia,Erwinia amylovora,negative
7390,MW812339,Erwinia,Erwinia amylovora,negative
7391,MW812338,Erwinia,Erwinia amylovora,negative
7392,MZ043897,Escherichia,Escherichia coli,negative
7393,MZ043613,Acinetobacter,Acinetobacter baumannii,negative
7394,MZ031013,Escherichia,Escherichia coli,negative
7395,MZ004649,Salmonella,Salmonella enterica,positive
7396,MW934263,Stenotrophomonas,Stenotrophomonas maltophilia,negative
7397,MW924497,Staphylococcus,Staphylococcus aureus,positive
7400,MW679410,Escherichia,Escherichia coli,negative
7401,MW978786,Aeromonas,Aeromonas hydrophila,negative
7402,MW689258,Hafnia,Hafnia sp.,negative
7403,MW725301,Salmonella,Salmonella enterica,positive
7404,MW713578,Klebsiella,Klebsiella pneumoniae,negative
7405,MW767161,Cronobacter,Cronobacter sakazakii,negative
7406,MW650886,Escherichia,Escherichia coli,negative
7407,MW926912,Acinetobacter,Acinetobacter baumannii,negative
7408,MZ150758,Salmonella,Salmonella enterica,positive
7409,MZ150757,Salmonella,Salmonella enterica,positive
7410,MG752970,Ralstonia,Ralstonia solanacearum,negative
7411,MZ182246,Enterococcus,Enterococcus faecalis,positive
7412,MW960043,Stenotrophomonas,Stenotrophomonas maltophilia,negative
7413,MW660583,Bacteroides,Bacteroides sp.,negative
7414,MW715619,Salmonella,Salmonella enterica,positive
7415,MW767996,Yersinia,Yersinia pestis,negative
7416,MH382198,Salmonella,Salmonella enterica,positive
7417,MZ188976,Cronobacter,Cronobacter sakazakii,negative
7418,MZ127829,Sphingopyxis,Sphingopyxis sp.,negative
7419,MT135176,Hafnia,Hafnia paralvei,negative
7420,MW316733,Acinetobacter,Acinetobacter baumannii,negative
7421,MW316732,Acinetobacter,Acinetobacter baumannii,negative
7422,MW316731,Acinetobacter,Acinetobacter baumannii,negative
7423,MW791312,Lactococcus,Lactococcus lactis,positive
7424,MW862804,Escherichia,Escherichia coli,negative
7426,MW296865,Salmonella,Salmonella enterica,positive
7427,KF981876,Mycobacterium,Mycobacteroides abscessus,positive
7428,MW459163,Acinetobacter,Acinetobacter baumannii,negative
7429,LC574321,Staphylococcus,Staphylococcus aureus,positive
7430,MW655991,Klebsiella,Klebsiella pneumoniae,negative
7431,MN812687,Pectobacterium,Pectobacterium atrosepticum,negative
7432,MW713383,Mycobacterium,Mycolicibacterium smegmatis,positive
7433,MW411580,Vibrio,Vibrio parahaemolyticus,negative
7434,MW001769,Pectobacterium,Pectobacterium odoriferum,negative
7435,KC960489,Mycobacterium,Mycobacterium abscessus,positive
7436,MW876471,Escherichia,Escherichia coli,negative
7437,MW672041,Enterococcus,Enterococcus faecium,positive
7438,MW250787,Escherichia,Escherichia coli,negative
7439,MW250786,Escherichia,Escherichia coli,negative
7440,MW250785,Escherichia,Escherichia coli,negative
7441,MW924889,Staphylococcus,Staphylococcus aureus,positive
7445,MW916539,Bacteroides,Bacteroides fragilis,negative
7447,MW748991,Enterobacter,Enterobacter hormaechei,negative
7448,MW314138,Bacteroides,Bacteroides fragilis,negative
7449,MW883061,Escherichia,Escherichia coli,negative
7450,MW883060,Escherichia,Escherichia coli,negative
7451,MW883059,Escherichia,Escherichia coli,negative
7452,MW654182,Nocardia,Nocardia carnea,positive
7454,MW722521,Salmonella,Salmonella enterica,positive
7455,MW822539,Xanthomonas,Xanthomonas albilineans,negative
7456,MW822538,Xanthomonas,Xanthomonas albilineans,negative
7457,MW822537,Xanthomonas,Xanthomonas albilineans,negative
7458,MW822536,Xanthomonas,Xanthomonas albilineans,negative
7459,MW822535,Xanthomonas,Xanthomonas albilineans,negative
7460,MW802488,Xanthomonas,Xanthomonas albilineans,negative
7461,MW822011,Shigella,Shigella flexneri,negative
7462,MW367417,Pectobacterium,Pectobacterium sp.,negative
7463,CP059058,Proteus,Proteus mirabilis,negative
7464,MW380985,Aeromonas,Aeromonas hydrophila,negative
7465,MW380984,Aeromonas,Aeromonas hydrophila,negative
7466,MW380983,Aeromonas,Aeromonas hydrophila,negative
7467,MW528836,Staphylococcus,Staphylococcus aureus,positive
7468,MW672037,Klebsiella,Klebsiella pneumoniae,negative
7470,MW367418,Pectobacterium,Pectobacterium sp.,negative
7471,MW451251,Vibrio,Vibrio parahaemolyticus,negative
7472,MW451250,Vibrio,Vibrio parahaemolyticus,negative
7473,MW451249,Vibrio,Vibrio parahaemolyticus,negative
7474,MW451248,Vibrio,Vibrio parahaemolyticus,negative
7475,MW451247,Vibrio,Vibrio parahaemolyticus,negative
7476,MW451246,Vibrio,Vibrio parahaemolyticus,negative
7477,LC623721,Enterococcus,Entrococcus faecalis,positive
7478,LC483177,Klebsiella,Klebsiella quasipneumoniae,negative
7479,MW567727,Salmonella,Salmonella enterica,positive
7480,MT234340,Agrobacterium,Rhizogenic Agrobacterium,negative
7481,MT234339,Agrobacterium,Rhizogenic Agrobacterium,negative
7482,MT234338,Agrobacterium,Rhizogenic Agrobacterium,negative
7484,MW722081,Klebsiella,Klebsiella pneumoniae,negative
7485,MW671054,Aeromonas,Aeromonas hydrophila,negative
7486,MW495044,Klebsiella,Klebsiella pneumoniae,negative
7487,MW302330,Stenotrophomonas,Stenotrophomonas maltophilia,negative
7488,MT951568,Xanthomonas,Xanthomonas euvesicatoria,negative
7489,MT438396,Klebsiella,Klebsiella pneumoniae,negative
7490,MT161385,Xanthomonas,Xanthomonas campestris,negative
7491,MT161387,Xanthomonas,Xanthomonas campestris,negative
7492,MT161386,Xanthomonas,Xanthomonas campestris,negative
7493,MT161384,Xanthomonas,Xanthomonas campestris,negative
7494,MT161383,Xanthomonas,Xanthomonas campestris,negative
7495,MT161382,Xanthomonas,Xanthomonas campestris,negative
7496,MT161381,Xanthomonas,Xanthomonas campestris,negative
7497,MT234343,Agrobacterium,Rhizogenic Agrobacterium,negative
7498,MT234342,Agrobacterium,Rhizogenic Agrobacterium,negative
7499,MT234341,Agrobacterium,Rhizogenic Agrobacterium,negative
7500,MW416012,Salmonella,Salmonella enterica,positive
7501,MW041639,Lactococcus,Lactococcus lactis,positive
7502,MW041638,Lactococcus,Lactococcus lactis,positive
7503,MW602648,Escherichia,Escherichia coli,negative
7504,MT872956,Stenotrophomonas,Stenotrophomonas maltophilia,negative
7505,MT129655,Escherichia,enteropathogenic Escherichia,negative
7506,MT129654,Escherichia,enterotoxigenic Escherichia,negative
7507,MT129653,Escherichia,enteropathogenic Escherichia,negative
7508,MT129652,Escherichia,enterotoxigenic Escherichia,negative
7509,MW291508,Stenotrophomonas,Stenotrophomonas maltophilia,negative
7510,MW072790,Burkholderia,Burkholderia thailandensis,negative
7511,MW032452,Enterobacter,Enterobacter cloacae,negative
7513,MT375531,Pelagibacter,Candidatus Pelagibacter,negative
7514,MT375530,Pelagibacter,Candidatus Pelagibacter,negative
7515,MT375529,Pelagibacter,Candidatus Pelagibacter,negative
7516,MT375528,Pelagibacter,Candidatus Pelagibacter,negative
7517,MT375527,Pelagibacter,Candidatus Pelagibacter,negative
7518,MT375526,Pelagibacter,Candidatus Pelagibacter,negative
7519,MT375525,Pelagibacter,Candidatus Pelagibacter,negative
7520,MT375524,Pelagibacter,Candidatus Pelagibacter,negative
7521,MT375523,Pelagibacter,Candidatus Pelagibacter,negative
7522,MT375521,Pelagibacter,Candidatus Pelagibacter,negative
7523,MT375520,Pelagibacter,Candidatus Pelagibacter,negative
7524,MT375519,Pelagibacter,Candidatus Pelagibacter,negative
7525,MW015081,Synechococcus,Synechococcus sp.,negative
7526,MW015080,Synechococcus,Synechococcus sp.,negative
7527,LC620505,Escherichia,Escrehichea coli,negative
7528,MT215167,Vibrio,Vibrio cholerae,negative
7531,MN091626,Staphylococcus,Staphylococcus aureus,positive
7532,MW590698,Acinetobacter,Acinetobacter baumannii,negative
7533,MW554488,Staphylococcus,Staphylococcus cohnii,positive
7534,MW460248,Mycobacterium,Mycobacteroides abscessus,positive
7540,BK013347,Thermocrinis,Thermocrinis,negative
7541,MW582532,Nocardia,Nocardia transvalensis,positive
7542,MW582531,Nocardia,Nocardia transvalensis,positive
7544,MW590223,Cellulosimicrobium,Cellulosimicrobium sp.,positive
7545,MW589261,Arcanobacterium,Trueperella pyogenes,positive
7546,MW544066,Salmonella,Salmonella enterica,positive
7547,MW584871,Aeromonas,Aeromonas salmonicida,negative
7551,MW355480,Salmonella,Salmonella enterica,positive
7552,MW355479,Salmonella,Salmonella enterica,positive
7553,MW355478,Salmonella,Salmonella enterica,positive
7554,MW355477,Salmonella,Salmonella enterica,positive
7555,MW355476,Salmonella,Salmonella enterica,positive
7556,MW355475,Salmonella,Salmonella enterica,positive
7557,MW355474,Salmonella,Salmonella enterica,positive
7558,MW355473,Salmonella,Salmonella enterica,positive
7559,MW355472,Salmonella,Salmonella enterica,positive
7560,MW355471,Salmonella,Salmonella enterica,positive
7561,MW355470,Salmonella,Salmonella enterica,positive
7562,MW355469,Salmonella,Salmonella enterica,positive
7563,MW355468,Salmonella,Salmonella enterica,positive
7564,MW355467,Salmonella,Salmonella enterica,positive
7565,MW355466,Salmonella,Salmonella enterica,positive
7566,MW355465,Salmonella,Salmonella enterica,positive
7567,MW355464,Salmonella,Salmonella enterica,positive
7568,MW355463,Salmonella,Salmonella enterica,positive
7569,MW355462,Salmonella,Salmonella enterica,positive
7570,MW355461,Salmonella,Salmonella enterica,positive
7571,MW355460,Salmonella,Salmonella enterica,positive
7572,MW355459,Salmonella,Salmonella enterica,positive
7573,MW355458,Salmonella,Salmonella enterica,positive
7574,MW355457,Salmonella,Salmonella enterica,positive
7575,MW355456,Salmonella,Salmonella enterica,positive
7576,MW355455,Salmonella,Salmonella enterica,positive
7577,MW355454,Salmonella,Salmonella enterica,positive
7578,MW355453,Salmonella,Salmonella enterica,positive
7579,MW355452,Salmonella,Salmonella enterica,positive
7580,MW355451,Salmonella,Salmonella enterica,positive
7581,MW355450,Salmonella,Salmonella enterica,positive
7582,MW355449,Salmonella,Salmonella enterica,positive
7584,MT647606,Pelagibacter,Candidatus Pelagibacter,negative
7585,MT647605,Pelagibacter,Candidatus Pelagibacter,negative
7586,MT161459,Aeromonas,Aeromonas hydrophila,negative
7587,CP071049,Staphylococcus,Staphylococcus aureus,positive
7588,MW004545,Enterococcus,Enterococcus faecalis,positive
7589,MT920315,Erwinia,Erwinia tracheiphila,negative
7590,MW598258,Escherichia,Escherichia coli,negative
7591,MT002873,Tenacibaculum,Tenacibaculum geojense,negative
7592,MN812722,Vibrio,Vibrio alginolyticus,negative
7593,MT984581,Escherichia,Escherichia coli,negative
7594,MT899444,Liberibacter,Candidatus Liberibacter,negative
7595,MT664721,Escherichia,Escherichia coli,negative
7596,MN101224,Klebsiella,Klebsiella michiganensis,negative
7597,MN101223,Klebsiella,Klebsiella michiganensis,negative
7598,MN101222,Klebsiella,Klebsiella michiganensis,negative
7599,MN101221,Klebsiella,Klebsiella michiganensis,negative
7600,MN101220,Klebsiella,Klebsiella michiganensis,negative
7601,MN101219,Klebsiella,Klebsiella michiganensis,negative
7602,MN101218,Klebsiella,Klebsiella michiganensis,negative
7603,MN101217,Klebsiella,Klebsiella michiganensis,negative
7604,MN101216,Klebsiella,Klebsiella michiganensis,negative
7605,MN052874,Klebsiella,Klebsiella michiganensis,negative
7614,MW476489,Lactobacillus,Lactobacillus gasseri,positive
7615,LC592711,Burkholderia,Burkholderia glumae,negative
7616,MW477799,Salmonella,Salmonella enterica,positive
7617,MT880872,Staphylococcus,Staphylococcus epidermidis,positive
7618,MT880871,Staphylococcus,Staphylococcus epidermidis,positive
7619,MT880870,Staphylococcus,Staphylococcus epidermidis,positive
7620,MH807812,Dickeya,Dickeya solani,negative
7621,MH807820,Dickeya,Dickeya solani,negative
7623,MH807817,Dickeya,Dickeya solani,negative
7624,MH807815,Dickeya,Dickeya solani,negative
7625,MH807813,Dickeya,Dickeya solani,negative
7626,MH807810,Dickeya,Dickeya solani,negative
7627,MH059632,Dickeya,Dickeya solani,negative
7628,MH059639,Dickeya,Dickeya solani,negative
7629,MH059637,Pectobacterium,Pectobacterium carotovorum,negative
7630,EU861004,Staphylococcus,Staphylococcus aureus,positive
7631,MW452562,Nocardia,Nocardia asteroides,positive
7632,MW460250,Staphylococcus,Staphylococcus aureus,positive
7634,MW460247,Burkholderia,Burkholderia,negative
7635,MW460246,Burkholderia,Burkholderia,negative
7636,MW460245,Burkholderia,Burkholderia,negative
7638,MW476490,Lactobacillus,Lactobacillus crispatus,positive
7639,MT899443,Liberibacter,Candidatus Liberibacter,negative
7640,MW344765,Halorubrum,Halorubrum coriense,negative
7641,MW218148,Staphylococcus,Staphylococcus lentus,positive
7642,MT829326,Enterococcus,Enterococcus faecalis,positive
7643,MT627482,Enterococcus,Enterococcus faecalis,positive
7664,MT119361,Enterococcus,Enterococcus faecalis,positive
7665,MT119360,Enterococcus,Enterococcus faecalis,positive
7666,MT119359,Enterococcus,Enterococcus faecalis,positive
7667,MT074476,Salmonella,Salmonella enterica,positive
7668,MT074460,Salmonella,Salmonella enterica,positive
7669,MT074484,Salmonella,Salmonella enterica,positive
7670,MT074483,Salmonella,Salmonella enterica,positive
7671,MT074482,Salmonella,Salmonella enterica,positive
7672,MT074481,Salmonella,Salmonella enterica,positive
7673,MT074473,Salmonella,Salmonella enterica,positive
7674,MT074468,Salmonella,Salmonella enterica,positive
7675,MT074467,Salmonella,Salmonella enterica,positive
7676,MT074464,Salmonella,Salmonella enterica,positive
7677,MT074463,Salmonella,Salmonella enterica,positive
7678,MT074462,Salmonella,Salmonella enterica,positive
7679,MT074461,Salmonella,Salmonella enterica,positive
7680,MT074456,Salmonella,Salmonella enterica,positive
7681,MT074455,Salmonella,Salmonella enterica,positive
7682,MT074454,Salmonella,Salmonella enterica,positive
7683,MT074453,Salmonella,Salmonella enterica,positive
7684,MT074452,Salmonella,Salmonella enterica,positive
7685,MT074451,Salmonella,Salmonella enterica,positive
7686,MT074447,Salmonella,Salmonella enterica,positive
7687,MT074446,Salmonella,Salmonella enterica,positive
7688,MT074445,Salmonella,Salmonella enterica,positive
7689,MT074444,Salmonella,Salmonella enterica,positive
7690,MT074443,Salmonella,Salmonella enterica,positive
7691,MT074442,Salmonella,Salmonella enterica,positive
7692,MT074441,Salmonella,Salmonella enterica,positive
7693,MT074440,Salmonella,Salmonella enterica,positive
7694,MT074438,Salmonella,Salmonella enterica,positive
7695,MT074437,Salmonella,Salmonella enterica,positive
7696,MT074435,Salmonella,Salmonella enterica,positive
7697,MT074434,Salmonella,Salmonella enterica,positive
7698,MT074433,Salmonella,Salmonella enterica,positive
7699,MT074432,Salmonella,Salmonella enterica,positive
7700,MT074431,Salmonella,Salmonella enterica,positive
7701,MT074430,Salmonella,Salmonella enterica,positive
7702,MN850631,Escherichia,Escherichia coli,negative
7703,MN939408,Enterococcus,Enterococcus faecalis,positive
7704,MN850628,Escherichia,Escherichia coli,negative
7705,MN850581,Escherichia,Escherichia coli,negative
7706,MN850651,Escherichia,Escherichia coli,negative
7707,MN850650,Escherichia,Escherichia coli,negative
7708,MN850649,Escherichia,Escherichia coli,negative
7709,MN850648,Escherichia,Escherichia coli,negative
7710,MN850647,Escherichia,Escherichia coli,negative
7711,MN850646,Escherichia,Escherichia coli,negative
